,review,sentiment
0,Have my masters degree because of his help.  Incredible prof.,0.9
1,pretty good professor,0.475
2,Fun teacher,0.3
3,Great prof!  Very interesting material and he really gets the students involved.  One of my favorite classes ever at Case.,0.5874999999999999
4,"great teacher and a real sweetheart. the work is light, the class is entertaining, and strangely, you end up learning a bunch.  Wrote me a great rec too.",0.44166666666666665
5,Best prof in the department hands down.,0.4222222222222222
6,No Comments,0.0
7,"Prof. Bettinger is one of the nicest professors at Case. He relates to students and makes econometrics very interesting by discussing his research papers. The work load is light, a few quizzes, homework, and one final paper.",0.21250000000000002
8,"4 Problem sets, 3 exams, no grading on attendance!  w00t",0.0
9,"Makes Econometrics, the love-child of Statistics and Economics, fun and interesting.  Relates to students well.",0.4
10,"absolutely love him - great prof, very enthusiastic, makes material interesting!",0.67625
11,"All-around good guy, really knowledgeable about the topic, and a good lecturer to boot. Not your usual psych class (t's not just a multiple choice vocab test like most psych classes tend to be), so be prepared for that. As long as you review the class outlines and pay attention in class you should be prepared for the exams. Do the extra credit.",0.2222222222222222
12,"I enjoyed Dr. Overholser's class! His lectures are very informative and interesting. No homework, two exams, and one &quot;bingo-esque&quot; final. As long as you go over the class outlines, exams are relatively easy.",0.2847222222222222
13,"Definitely an old-school professor, but his lectures are really interesting. He has a lot of professional experience that he draws on and you learn a lot about methods of therapy. Review his outlines he sends out and you'll be fine; just make sure to start on the scavenger hunt early.",0.26944444444444443
14,"There are 100 total points in this class, and an A drops to B at 91. You have to show up to random lectures to get activity sheets to get 10 points so skipping isn't smart. Then his tests have little relevance to the information he teaches so it's basically a crap shoot of information. then 30 point end project. So there is minimal room for error",-0.22886904761904767
15,"Besides teaching in class, he is also a psychologist and I can see he's very passionate in teaching ways to approach clients. The class has one midterm and a final. The midterm was doable if you study his materials (take good notes). he allowed extra credit for turning mc in each class and those will be on  the final!! so the final is not too bad..",-0.009285714285714262
16,"literally one of the worst professors ever. Lectures are littered with frivolous information. Unfortunately, predicting what will appear on the two exams seems almost impossible. This professor killed my enthusiasm in the subject area because of his inability to communicate the important information. This class makes a joke of the psychology major.",-0.29583333333333334
17,"He was very interested in the material, but never got the class interested. There was one large project and three test, so it was not a whole lot of work. Each test had a few tricks from the book, but it was mostly from his lectures. He took on the characters of the people in class ie. Jung, Adler, Freud...It was interesting/strange.",0.16488095238095238
18,An engaging lecturer.  He made the material really fascinating!  Highly recommended.,0.4783333333333333
19,"She's v nice, but her lectures are absolutely terrible. Difficult to understand and covers such a small % of the actual material. Impossible to learn all material so don't even try. Tests are time based so no one actually learns the material, they just do a million practice questions. Very reflective of the lack of creativity in Case Engineering.",-0.1796296296296296
20,"Nice lady, good prof, good class. Long, difficult tests, but with a fair curve.",0.3583333333333332
21,"Signals and Systems used three profs, two for the main lecture.  At first, I was skeptical about Yu, but it turned out she was the most comprehensible. She uses good examples, which is important.  Her office hours are also extremely helpful and she doesn't act like she's too busy for you. Definitely my favorite prof in BME; and I'm not in imaging!",0.25166666666666665
22,"Had to tkae this class for a technical elective. enjoyed it immensely, class was good, prof. yu was available whenever necessary and was extremely helpful with any questions that i had.",0.21071428571428572
23,"Professor Duax was a nice person.  It was her first year teaching the class, and you could tell.     The midterm was ridiculously hard, but she made up for it with an extremely easy paper and final.    I would recommend this class.",0.19833333333333333
24,"Professor Maguire's class on Epidemics was absolutely my most interesting and most enjoyable SAGES experience. Only one paper, but weekly presentations. Easy A if you participate (ask lots of questions about other students' presentations) and listen to his feedback.",0.3297619047619048
25,A very helpful and reasonable professor. Provided lots of interesting insights into the history of science. Offered helpful constructive criticism on how to improve writing. Texts used were appropriate and informative.,0.35
26,"He comes off as a bit gruff, but he's a great guy. Knows his stuff and cares about his students. Worked hard for an A, but didn't kill myself.",0.25416666666666665
27,"Kuemerle is a great person and a very knowledgable professor. She teaches a class that has a ton of material and she expects you to know it inside and out (use the lecture slides). If you put the time and effort in it's super rewarding. The lab goes well with the course, so take them at the same time.",0.36666666666666664
28,"BIOL 302 is one of the better, if not the best SAGES Ive taken at Case. Great discussions, and honestly interesting topics. Dr. Kuemerle makes a real effort to keep the class fun. Take this class if you have the chance.",0.5499999999999999
29,Took this class during May Term and basically everyday we learned a week's worth of material every day. The material is not too difficult but it is just a lot in a short amount of time. Kuemerle is a nice lecturer and is very kind. She is very receptive to answering questions both inside and outside of class.,0.1475
30,"Don't fall for her &quot;nice&quot; appearance. She's a snake. Doesn't care about the class or the students. She's totally fine with giving everyone Cs and Ds. Makes everyone by her textbook, which contains no relevant info what so ever. Be prepared to cram for days before the tests. If you don't have to take 216 for your major, avoid this class hurtsGPA",0.09305555555555556
31,"Had Dr. Kuemerle for Bio 216, very smart professor but teaches way too fast. Honestly will learn more by copying lecture slides. Come to class for pop worksheets",0.39464285714285713
32,"Dr. K's lectures aren't the best, however, as a person is very friendly. To do well on the exams you basically need to have everything on the slides memorized and understand the connections. Its doable but very tedious.",0.2791666666666667
33,"Absolute waste of time. Extremely forgetful in posting promised assignments and resources. She lectures for herself and not her students. If you intend on passing, her lectures are absolutely useless and the text will be your only hope. She puts emphasis on application but does not seem to know the basic material herself.",-0.09999999999999999
34,"A big stickler for attendance, but so brilliant and very engaging. Highly recommend!",0.40499999999999997
35,"This is about Dr. K's SAGES seminar. I can't speak for her lecturing abilities, but she is an EXCELLENT discussion facilitator and gives students the reigns in this class. Lots of opportunities to learn and discuss. Don't take this class unless you want to have your thinking challenged, and TALK, a lot. For papers, effort+good writing -- A. Easy.",0.7166666666666667
36,"tests are literally impossible, don't take the class unless you have to",-0.6666666666666666
37,"I took 216, and 216L during May Term, both with Dr. Kuemerle. The tests were hard, and it sometimes seemed like questions asked about really specific details. However, she always makes herself available to answer questions or provide help to students. Additionally, she was super receptive to questions about grading, and has given me points back.",0.08833333333333333
38,"Memorize her powerpoints--there's like 300+ slides to memorize per exam and it's awful awful awful watching the lectures because she just drones on for over an hour. Everything she says comes verbatim off the powerpoints--and funny thing about her powerpoints, a lot of it is verbatim off of Wikipedia.",-0.6875
39,"The worst class I have taken while at Case Western.  The professor reads directly off the slides and her lectures drag on, halfway through the semester less than 10% of the class was paying attention. Over 400 slides to MEMORIZE per test.  Tests were extremely specific, picking out minor unneeded details as test questions. Not worth your time.",-0.17083333333333334
40,"She is super approachable and nice in e-mails -- it's really easy to ask for help if you need it or if you don't understand something. In lectures, she will talk about what's always on the NEXT slide instead of the slide she's currently presenting which is frustrating... but all test material comes from her PowerPoints. Memorize them well ;)   ",0.17380952380952383
41,Dr. Kuemerle is the best for BIOL 216L in the summer! I literally have a 100% in the course. She's extremely helpful and gives useful inputs on how to design good posters and write excellent papers. She's also fun to chat with in a small class and is a really cool professor. Highly recommend taking this for a good lab experience.,0.4135
42,Kuemerle is a great professor in lecture. She is very enthusiastic and explains things really well. MEMORIZE her power points to the last picture and go to SI sessions. Her tests are difficult despite what people say but literally she gives you all the information you need on the power points. This class was enjoyable because of her lectures.,0.2966666666666667
43,"Hard tests, exactly not what I expected.",-0.17222222222222225
44,"Good teacher, genuinely cared and helped us learn.  Don't use the book, study the lecture slides very well and you can get an A.  Her test questions are not very difficult and she purposefully tries to not make them tricky",0.2784615384615384
45,"Does not use the book. She is definitely nice person, but as a professor, she reads the slides and at the end of the week, there are 500 slides to go through. Exams were hard. Study, and youll get a B.",0.15416666666666665
46,"Memorize the slides and you're guaranteed an A on the test.  SERIOUSLY.  DO NOT STUDY THE BOOK.  I took the class during the May term and it was SO MUCH INFO IN 3 WEEKS!!!  But I totally had the slides down, so I did really well.",0.1203472222222222
