,attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping,sentiment
0,Not Mandatory,good,average,good,0,31276087,0,,good,4,EC12,"Andre Switala is a very good professor. Switala lectures for the entire duration of the class time. During class, he gives you all the information you need to know for the tests. Lectures are also posted online after each class. The tests were as difficult as expected, but were not too bad with a decent amount of studying.",01/17/2019,3.0,3.0,,4,,4.0,4.0,1,No,1547762131000,Yes,1040,Yes,,A,"['Lecture heavy', 'Test heavy']",people,people,-0.037222222222222205
1,Not Mandatory,good,good,good,0,31075832,0,,awesome,5,EC12,"His lectures are very helpful. He teaches a lot of the concepts through math equations, so be ready to do math, especially on tests bc he will sometimes ask you to do derivations on the exams. The sample exams he gives aren't that representative of what's on the exam, but if you look over his slides you're fine.",12/18/2018,4.0,4.0,,5,,5.0,5.0,1,Yes,1545105886000,Yes,1040,Yes,,,"['Hilarious', 'Respected', 'Test heavy']",people,people,0.20416666666666666
2,Mandatory,good,good,good,1,29285089,0,,good,4,EC12,Switala is pretty tough and moves really quickly. Sometimes he assumes you know things that you don't and doesn't explain what things stand for but is helpful if you ask questions. Tests are also hard but there is a decent curve at the end of the class.,12/19/2017,5.0,5.0,,4,,4.0,4.0,1,Yes,1513725725000,Yes,1040,Yes,,B,"[""Skip class? You won't pass."", 'Tough grader']",people,person,0.013888888888888878
3,Mandatory,good,good,good,1,28294351,0,,good,4,EC15,"Professor Switala's class is difficult but fair. He moves through the material very quickly, the exams are hard, but in the end he curves pretty generously.",05/12/2017,4.0,4.0,,4,,4.0,4.0,1,No,1494581842000,Yes,1040,Yes,,,"['Lecture heavy', 'Clear grading criteria', 'Gives good feedback']",people,person,0.11833333333333332
4,Mandatory,good,average,good,1,25991660,0,,good,4,EC0012,Hard but very rewarding class.,01/25/2016,3.0,3.0,,4,Really into it,4.0,4.0,1,No,1453752212000,,1040,Yes,,A,[],people,person,0.17916666666666667
5,,good,average,good,1,24383059,1,,awesome,5,EC0012,"Very clear, knowledgable, and manage keep it interesting.",02/13/2015,3.0,3.0,,4,Really into it,4.5,4.5,1,Yes,1423830076000,Yes,1040,Yes,,,['Clear grading criteria'],person,person,0.315
6,Mandatory,good,good,good,1,23182874,0,,awesome,5,EC11,"Very clear, knowledgeable, uses chalkboard, tests are moderately difficult, but there's a curve. He never smiles, and can quite be condescending at times, but he's a good teacher and you'll learn a lot.",05/06/2014,4.0,4.0,,5,It's my life,5.0,5.0,1,No,1399420665000,,1040,,,,[],people,person,0.10999999999999999
7,,good,good,good,1,22226186,3,,awesome,5,EC11,LOVE HIM,10/28/2013,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1383004600000,,1040,,,,[],people,person,0.5
8,,average,good,average,0,22007295,2,,average,3,EC13,"He is very smart guy, and the tests are extremely difficult. I took his class during summer session and it is not a good idea. You have to work very hard and he derives a lot of equations. So prepared to review calculus and every other math suff before taking the class.",07/29/2013,5.0,5.0,,2,Sorta interested,2.5,2.5,1,Yes,1375127221000,,1040,,,,[],people,people,-0.2151190476190476
9,,good,good,good,0,21476351,0,,awesome,5,EC11,"Switala's class was by no means easy, but it is very possible to do well if you put in the work. His notes are extremely clear and match nicely with the information from the textbook. His tests are difficult but he makes himself available to help you with any questions you have. He can seem cold and condescending at times, but is a good professor.",04/02/2013,4.0,4.0,,4,Sorta interested,4.5,4.5,1,Yes,1364921118000,,1040,,,,[],people,people,0.14166666666666666
