,attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping,sentiment
0,,good,good,good,0,16307372,4,,awesome,5,ELEC101,No Comments,11/03/2009,5.0,5.0,,5,It's my life,5.0,5.0,1,Yes,1257267834000,,799,,,,[],people,people,0.0
1,Mandatory,good,average,good,1,27869115,5,,awesome,5,284ECE,useful class,03/01/2017,2.0,2.0,,5,,5.0,5.0,1,Yes,1488390144000,Yes,799,Yes,,,[],people,person,0.3
2,,good,poor,good,2,20785987,3,,awesome,5,ELEC517,good,11/06/2012,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1352210007000,,799,,,,[],people,people,0.7
3,,good,average,good,0,13610139,3,,awesome,5,EE101,incredible prof!!,11/07/2007,3.0,3.0,,5,Low,5.0,5.0,1,Yes,1194399929000,,799,,,,[],people,people,1.0
4,,good,average,good,1,21587796,0,,awesome,4,ELEC241,"Genius! Pure genius, this man.",04/23/2013,3.0,3.0,,5,It's my life,4.5,4.5,1,Yes,1366734884000,,799,,,,[],people,person,0.21428571428571427
5,,average,good,average,0,16179214,1,,good,3,ELEC241,No Comments,09/09/2009,5.0,5.0,,4,It's my life,3.5,3.5,1,Yes,1252459459000,,799,,,,[],person,people,0.0
6,,good,average,good,0,16376839,0,,awesome,5,ELEC522,One of the best professors who ever gave me courses :) really totally recommend to take any course he teach.,11/16/2009,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1258387732000,,799,,,,[],people,people,0.5
7,,good,average,good,0,18070239,0,,awesome,5,LING300,"Prof. Englebretson has been one of my favorite professors at Rice. He is extremely approachable (assuming you have no issues with blind people), funny, and kind. His dry wit makes class really fun to attend, and his assignments are more like puzzles than homework, but are just as effective in teaching the material. Highly recommended.",01/01/2011,3.0,3.0,,5,Really into it,5.0,5.0,1,No,1293890917000,,799,,,,[],people,people,0.22183333333333333
8,,good,average,good,0,18070227,0,,awesome,5,COMP221,Prof. Ng was very friendly and explained concepts very well. He would even cut in when Prof. Cox was speaking in order to clarify things he thought we still might not understand. Very approachable.,01/01/2011,3.0,3.0,,4,Sorta interested,4.5,4.5,1,Yes,1293890644000,,799,,,,[],people,people,0.29583333333333334
9,Not Mandatory,average,good,average,0,24114167,0,,average,2,CHEM211,"Hated this lecture. Prof used a tablet to lecture. Poor handwriting and lots of mistakes. Very eager to help during her limited office hours. Even pre-exam review sessions were held by TAs (also lackluster).  Timed, weekly quizzes for homework which I hated but really helped prep for exams. Be ready to spend lots of time in front of your orgo text.",12/17/2014,4.0,4.0,,4,Sorta interested,3.0,3.0,1,Yes,1418783672000,,799,Yes,,,['Lots of homework'],people,people,-0.23877551020408166
10,,good,good,good,0,17823772,1,,awesome,5,CHEM212,She is GREAT. Understands the material and gives very clear lectures. She really seems to care about us leaning the material.,11/27/2010,4.0,4.0,,5,Really into it,5.0,5.0,1,Yes,1290897992000,,799,,,,[],person,people,0.3766666666666667
11,,good,good,good,0,18839358,0,,awesome,5,FLSPSPO5,"This is one of the best teachers I ever had. Prof. Atlee is knowledgeable of the subject his teaches, very detailed, very professional. I think he is very funny, excellent reader and has a great Spanish accent specially for reading literature. I highly recommend him.",07/21/2011,4.0,4.0,,5,Low,5.0,5.0,1,Yes,1311262791000,,799,,,,[],people,people,0.41254761904761905
12,,good,good,good,0,18839357,0,,awesome,5,FLSPSPO5,"This is one of the best teachers I ever had. Prof. Atlee is knowledgeable of the subject his teaches, very detailed, very professional. I think he is very funny, excellent reader and has a great Spanish accent specially for reading literature. I highly recommend him.",07/21/2011,4.0,4.0,,5,Low,5.0,5.0,1,Yes,1311262788000,,799,,,,[],people,people,0.41254761904761905
13,,average,average,average,0,17917265,0,,average,3,SPAN101,"He was a very nice guy, but a pretty harsh grader. This class is not for beginners because ANY errors will be noticed and cause points to be taken off. Tests were take home, and class participation was rather simple (but mandatory).",12/12/2010,3.0,3.0,,2,Sorta interested,2.5,2.5,1,Yes,1292113136000,,799,,,,[],people,people,0.20750000000000002
14,,good,good,good,0,17681307,0,,awesome,4,ENGL1302,"Very nice lady, but mean teacher. She grades super hard and the assignments are almost impossible. I had to drop because I was failing. I would only recommend her if your major is English.",10/21/2010,5.0,5.0,,5,Low,4.5,4.5,1,Yes,1287702852000,,799,,,,[],people,people,-0.01187500000000001
15,,good,good,good,0,17573710,0,,awesome,5,ENGL1302,"I took Ms. Crawford's summer course and she is so nice and sweet as a person, but so strict. She grades super hard, and you MUST attend class and MUST have the book. Hardest English class I've ever taken!",09/03/2010,5.0,5.0,,4,Sorta interested,4.5,4.5,1,Yes,1283547493000,,799,,,,[],people,people,0.1983333333333333
16,,good,good,good,1,22341164,0,,awesome,5,ENG525,Easily one of the best professors in the English dept. He expects a lot - the best prof's always do - but he gives even more. Take him.,11/18/2013,4.0,4.0,,5,Really into it,5.0,5.0,1,Yes,1384808656000,,799,,,,[],people,person,0.5866666666666667
17,,average,good,average,1,16826368,0,,good,3,MECH571,Tayfun is an Interesting man...,02/24/2010,5.0,5.0,,4,Low,3.5,3.5,1,No,1266996389000,,799,,,,[],people,person,0.5
18,Mandatory,good,average,good,0,22708956,0,,awesome,5,PHIL314,"best professor ever, very intelligent man",01/06/2014,3.0,3.0,,5,It's my life,5.0,5.0,1,No,1389051797000,,799,,,,[],people,people,1.0
19,,good,average,good,0,21323127,0,,awesome,5,3241,great,02/05/2013,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1360099848000,,799,,,,[],people,people,0.8
